nl,code
"call the method self.configure_custom with an argument config, substitute the result for result.",result = self . configure_custom ( config )
substitute first 12 elements of r for r.,r = r [ : 12 ]
write 79 '-' characters into self.stream file stream.,self . stream . write ( b'-' * 79 )
return default.,return default
import module random.,import random
"call the method self.setlistdefault with an argument key, append value to the result.",self . setlistdefault ( key ) . append ( value )
return result.,return result
"evaluate the logical expression, if other is an instance of RegexValidator and self.regex.pattern equals to other.regex.pattern,","return ( isinstance ( other , RegexValidator ) and self . regex . pattern == other . regex . pattern and self . regex . flags == other . regex . flags and ( self . message == other . message ) and ( self . code == other . code ) and ( self . inverse_match == other . inverse_match ) )"
"if not,",else :
"define the method has_key with self class instance, key and version defaulting to None as arguments.","def has_key ( self , key , version = None ) :"
call the method notifier.process_events.,notifier . process_events ( )
use_func is boolean False.,use_func = False
"call the function fastcgi_help with an argument string ""ERROR: Implementation must be one of prefork or thread."", return the result.","return fastcgi_help ( ""ERROR: Implementation must be one of prefork or "" ""thread."" )"
call the self._load_post_and_files method.,self . _load_post_and_files ( )
"call the function _generate_cache_key with request, request.method, an empty list and key_prefix as arguments, return the result.","return _generate_cache_key ( request , request . method , [ ] , key_prefix )"
"if dt is None is_dst is boolean False, otherwise call the method self._isdst with an argument dt, substitute the result for is_dst.",is_dst = False if dt is None else self . _isdst ( dt )
"call the function force_text with an argument bf.label, use the result as an argument for the call to the function conditional_escape, substitute the result label.",label = conditional_escape ( force_text ( bf . label ) )
where '%r' is replaced with subcommand and '%s' is replaced with self.prog_name. call the function sys.exit with an argument integer 1.,sys . exit ( 1 )
msg is an empty string.,"msg = """""
substitute first element of row for column_name.,column_name = row [ 0 ]
"if settings.TEMPLATE_DEBUG and display_name are both true,",if settings . TEMPLATE_DEBUG and display_name :
"if the value under the 'QUERY_STRING' key of the self.META dictionary is true, call the function iri_to_uri,","return '%s%s' % ( self . path , ( '?' + iri_to_uri ( self . META . get ( 'QUERY_STRING' , '' ) ) ) if self . META . get ( 'QUERY_STRING' , '' ) else '' )"
"called with an argument path, substitute path for locale_dir.",locale_dir = path
relations is an empty dictionary.,relations = { }
substitute filter_func for value under the name key of self.filters dictionary.,self . filters [ name ] = filter_func
return the value under the language_code key of the self._regex_dict dictionary.,return self . _regex_dict [ language_code ]
define initialization method __init__ with self instance of the class as an argument.,def __init__ ( self ) :
"raise an TemplateSyntaxError exception with an argument string ""Could not parse some characters: %s|%s|%s"",","raise TemplateSyntaxError ( ""Could not parse some characters: "" ""%s|%s|%s"" % ( token [ : upto ] , token [ upto : start ] , token [ start : ] ) )"
skip this loop iteration.,continue
"and data, if it evaluates to true, return boolean True.",return True
"define the method source_error with 3 arguments: self, source and msg.","def source_error ( self , source , msg ) :"
define the funtion _generate_cache_header_key with key_prefix and request as arguments.,"def _generate_cache_header_key ( key_prefix , request ) :"
"call the method middleware.process_request with an argument request, substitute the result for result.",result = middleware . process_request ( request )
"raise an ValidationError with 3 arguments: dictionary self.error_messages value under the key 'invalid_choice',","raise ValidationError ( self . error_messages [ 'invalid_choice' ] , code = 'invalid_choice' , params = { 'value' : val } , )"
raise an ValidationError with 2 arguments: value under the 'required' key of the self.error_messages dictionary and code set to 'required'.,"raise ValidationError ( self . error_messages [ 'required' ] , code = 'required' )"
derive the class Origin form the base class object.,class Origin ( object ) :
invert self.negated.,self . negated = not self . negated
"otherwise if name is contained in lib.filters,",elif name in lib . filters :
"compile the handle.read in mode 'exec' source is read from file pythonrc, execute the compiled script with imported_objects variables.","exec ( compile ( handle . read ( ) , pythonrc , 'exec' ) , imported_objects )"
self.tokens is an empty dictionary.,self . toks = { }
substitute viewname for view.,view = viewname
"if not,",else :
"format string '%+03d:%02d' with hour and minute, append it to time_str, return the result.","return time_str + '%+03d:%02d' % ( hour , minute )"
"otherwise if fourth element of version does not equals to 'final',",elif version [ 3 ] != 'final' :
"'Database state will be brought to the state after that migration.' as arguments. call the method parser.add_argument with string '--noinput', action containing string 'store_false', dest set to string 'interactive',","parser . add_argument ( '--noinput' , action = 'store_false' , dest = 'interactive' , default = True , help = 'Tells Django to NOT prompt the user for input of any kind.' )"
"call the __add__ method with an arguments rhs from the base class of the class SafeBytes, substitute the result for t.","t = super ( SafeBytes , self ) . __add__ ( rhs )"
"if _serializers is false,",if not _serializers :
define the method __init__ with 2 arguments: self and attrs set to None.,"def __init__ ( self , attrs = None ) :"
raise an exception.,raise
"return a tuple with 3 elements: if path is true, path, in not, a string '%s.%s' formated with obj.__class__.__module__,","return ( path or '%s.%s' % ( obj . __class__ . __module__ , obj . __class__ . __name__ ) , obj . _constructor_args [ 0 ] , obj . _constructor_args [ 1 ] , )"
"""This will IRREVERSIBLY DESTROY all data currently in the %r database, and return each table to an empty state."" ""Are you sure you want to do this?""Type 'yes' to continue, or 'no' to cancel: "", where '%s' is replaced with value under the 'NAME' key of the connection.settings_dict dictionary. if not,",else :
"and guid_attrs. if value under the 'ttl' key of the item dictionary is not None,",if item [ 'ttl' ] is not None :
"if self.verbosity is integer 1,",if self . verbosity > 1 :
"widget set to None, label set to None, initial set to None, help_text set to an empty strign, unpacked list args and unpacked dictionary kwargs. call the method __init__ from the base class of the class ModelMultipleChoiceField, with 10 arguments: queryset, None,","super ( ModelMultipleChoiceField , self ) . __init__ ( queryset , None , cache_choices , required , widget , label , initial , help_text , * args , ** kwargs )"
call the method cls.__new__ with 2 arguments: cls and unpacked list args.,"return cls . __new__ ( cls , * args )"
break the loop execution.,break
derive the class FileField from the base class Field class.,class FileField ( Field ) :
"call the function re.compile with an argument raw string ""^((?:'[^']*'|[^'])*?)--.*$"", substitute the result for comment_re.","comment_re = re . compile ( r""^((?:'[^']*'|[^'])*?)--.*$"" )"
exit the program with failures converted to boolean as a message.,sys . exit ( bool ( failures ) )
"otherwise if common_prefix is None,",elif common_prefix is None :
saved_locale is None.,saved_locale = None
from django.apps import apps into default name space.,from django . apps import apps
return default.,return default
derive the class override from the object base class.,class override ( object ) :
m2m_data is an empty dictionary.,m2m_data = { }
"get 'error_messages' attribute from the options object, if it exists substitute it for self.error_messages,","self . error_messages = getattr ( options , 'error_messages' , None )"
"if min_length is not None,",if min_length is not None :
"try,",try :
define the method _cull with argument self.,def _cull ( self ) :
"which has not been installed."" with all the '%s' replaced by values of description, name and reference joined into a string delimited by '.', respectively, obj set to receiver.__module__, hint set to None and id set to string 'signals.E001', append the result to errors. return errors.",return errors
"return the result of the call to the function chain, with an argument unpacked list, containing the result of the function,","return chain ( * [ [ format_html ( '<link href=""{0}"" type=""text/css"" media=""{1}"" rel=""stylesheet"" />' , self . absolute_path ( path ) , medium ) for path in self . _css [ medium ] ] for medium in media ] )"
return self.data.hour.,return self . data . hour
self.fixture_count is integer 0.,self . fixture_count = 0
"otherwise if first element of cwords is contanied in tuple with 8 entries: 'dumpdata', 'sql', 'sqlall', 'sqlclear', 'sqlcustom',","elif cwords [ 0 ] in ( 'dumpdata' , 'sql' , 'sqlall' , 'sqlclear' , 'sqlcustom' , 'sqlindexes' , 'sqlsequencereset' , 'test' ) :"
result is None.,result = None
assign script_name to the value under the 'SCRIP_NAME' key of the self.META dictionary.,self . META [ 'SCRIPT_NAME' ] = script_name
"convert is a dictionary with 4 initial entries: list with 3 tuples: tuple with 2 elements: string '__gt__',","convert = { '__lt__' : [ ( '__gt__' , lambda self , other : not ( self < other or self == other ) ) , ( '__le__' , lambda self , other : self < other or self == other ) , ( '__ge__' , lambda self , other : not self < other ) ] , '__le__' : [ ( '__ge__' , lambda self , other : not self <= other or self == other ) , ( '__lt__' , lambda self , other : self <= other and not self == other ) , ( '__gt__' , lambda self , other : not self <= other ) ] , '__gt__' : [ ( '__lt__' , lambda self , other : not ( self > other or self == other ) ) , ( '__ge__' , lambda self , other : self > other or self == other ) , ( '__le__' , lambda self , other : not self > other ) ] , '__ge__' : [ ( '__le__' , lambda self , other : ( not self >= other ) or self == other ) , ( '__gt__' , lambda self , other : self >= other and not self == other ) , ( '__lt__' , lambda self , other : not self >= other ) ] }"
do nothing.,pass
"if value is an instance of datetime.datetime,","if isinstance ( value , datetime . datetime ) :"
"append first 49 elements of self._unget_history to list containing num_bytes, substitute the result for self._unget_history.",self . _unget_history = [ num_bytes ] + self . _unget_history [ : 49 ]
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
"map elements of self._iterator through self.make_bytes function, return the result.","return map ( self . make_bytes , self . _iterator )"
substitute serialize_headers for __bytes__.,__bytes__ = serialize_headers
"call the method parser.parse with an argument tuple with an element end_tag, substitute the result for nodelist_false.","nodelist_false = parser . parse ( ( end_tag , ) )"
define the method _read_limited with self class instance and size set to None as arguments.,"def _read_limited ( self , size = None ) :"
"self.getlist with an argument k, for every k in self. return obj_dict.",return obj_dict
"if node is an instance of Node,","if isinstance ( node , Node ) :"
"open the file fn in read mode, with file descriptor as f,","with open ( fn , 'rb' ) as f :"
try,try :
"if m is true,",if m :
substitute file_size for self.file.size.,self . file . size = file_size
"if not, substitute self.auto_id for id_. if if_is true attrs is an dictionary with initial entry: id_ for 'id', if not, attrs is an empty dictionary.",attrs = { 'id' : id_ } if id_ else { }
"append value under the 'protocol' key of the options dictionary to the string 'server.', substitute it for flup_module.",flup_module = 'server.' + options [ 'protocol' ]
"get the value under the 'hide_empty' key of the options dictionary, if the key exists substitute it for self.hide_empty,","self . hide_empty = options . get ( 'hide_empty' , False )"
"msg is a string '%sError importing module %s: ""%s""', where '%s' is replaced with error_prefix, dotted_path and e, respectively.","msg = '%sError importing module %s: ""%s""' % ( error_prefix , dotted_path , e )"
"if not,",else :
substitute stream for self.stream.,self . stream = stream
"substitute the result for context_match. call the method context_match.group with an argument integer 1, substitute the result for message_context.",message_context = context_match . group ( 1 )
"try,",try :
"call the method struct.pack with 2 arguments: bytes string '>I' and i, append the result to salt, substitute the result or u.","u = salt + struct . pack ( b'>I' , i )"
call the method self.instance.validate_unique with an argument exclude set to exclude.,self . instance . validate_unique ( exclude = exclude )
"call the context.push method, with the result, perform,",with context . push ( ) :
define the function _sanitize_ipv4_mapping with an argument ip_str.,def _sanitize_ipv4_mapping ( ip_str ) :
"call the function _strip_once with an argument value, substitute the result for new_value.",new_value = _strip_once ( value )
"substitute '%s' with self._dir converted to a string. define the method key_to_file with self class instance, key and version defaulting to None as arguments.","def _key_to_file ( self , key , version = None ) :"
"if not,",else :
"and unpacked dictionary kwargs, return the result. define the function assertRegex with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def assertRegex ( self , * args , ** kwargs ) :"
substitute third element of renamed_method for deprecation_warning.,deprecation_warning = renamed_method [ 2 ]
"define the method clean with arguments self, data and initial set to None.","def clean ( self , data , initial = None ) :"
define the method __init__ with an argument self.,def __init__ ( self ) :
define the function widthratio with 2 arguments: parser and token.,"def widthratio ( parser , token ) :"
"call the function os.path.abspath with an argument dirpath, if it starts with return value of the method os.path.dirname,",if os . path . abspath ( dirpath ) . startswith ( os . path . dirname ( path ) ) :
from django.utils.deprecation import RemovedInDjango19Warning into default name space.,from django . utils . deprecation import RemovedInDjango19Warning
"call the method self.build_attrs with an argument attrs, substitute the result for final_attrs.",final_attrs = self . build_attrs ( attrs )
"join path and entry into a file path, if it exists,","if os . path . isdir ( os . path . join ( path , entry ) ) :"
return t.,return t
from django.utils.module_loading import import_string into default name space.,from django . utils . module_loading import import_string
call the method self.validate_key with argument key.,self . validate_key ( key )
substitute localized_fields for value under the 'localized_fields' key of attrs dictionary.,attrs [ 'localized_fields' ] = localized_fields
"concatenate string '%0', width and string ""d. %s"", format the previous string with i incremented by 1 and line,","lines [ i ] = ( ""%0"" + width + ""d. %s"" ) % ( i + 1 , line )"
"substitute first, second and second elements of bits for yes, no, maybe, respectively.","yes , no , maybe = bits [ 0 ] , bits [ 1 ] , bits [ 1 ]"
"call the function self.path with argument name, use the result as an argument for the call to the function os.path.getmtime,",return datetime . fromtimestamp ( os . path . getmtime ( self . path ( name ) ) )
"try,",try :
"join 'conf' and 'locale' into a file path, if it is a directory,","if os . path . isdir ( os . path . join ( 'conf' , 'locale' ) ) :"
return self.,return self
"MONTHS is a list with 12 elements: strings 'jan', 'feb', 'mar', 'apr', 'may', 'jun', 'jul', 'aug', 'sep', 'oct', 'nov', and 'dec'.",MONTHS = 'jan feb mar apr may jun jul aug sep oct nov dec' . split ( )
substitute _iterlists for lists.,lists = _iterlists
call the method obj.delete.,obj . delete ( )
"template is an instance of Template class, created with an argument content.",template = Template ( content )
"define the method __init__ with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
return value.,return value
call the method __new__ with an argument cls from the base class of the klass function.,"obj = super ( klass , cls ) . __new__ ( cls )"
"in the previous result for with string '\n', substitute the result for eol_message. get 'value' attribute of the _active object, if it exists substitute it for t, if not t is None.","t = getattr ( _active , ""value"" , None )"
call method self.stdout.write with statement as an argument.,self . stdout . write ( statement )
"call the method self.make_bytes with an argument content, append it to self._container.",self . _container . append ( self . make_bytes ( content ) )
"get_format called with an argument string 'TIME_INPUT_FORMATS', substitute the result for format. call the method value.strftime with an argument format, return the result.",return value . strftime ( format )
"call the self.make_key with key and version set to version as arguments, substitute the result for key.","key = self . make_key ( key , version = version )"
"if self.use_argparse is true,",if self . use_argparse :
define the method I with an argument self.,def I ( self ) :
"and path with self.path, substitute the result for current_uri. call the function urljoin with arguments current_uri and location, substitute the result for location.","location = urljoin ( current_uri , location )"
g is an instance of a class generator.Generator called with fp and mangle_from_ set to False.,"g = generator . Generator ( fp , mangle_from_ = False )"
from django.apps import apps into default name space.,from django . apps import apps
"if value is an instance of SafeData, safe is boolean True, otherwise it is boolean False.","safe = isinstance ( value , SafeData )"
define the method _iteritems with an argument self.,def _iteritems ( self ) :
"if shown is an empty set,",if not shown :
"define the method __init__ with 4 arguments: self, name, old and new set to None.","def __init__ ( self , name , old , new = None ) :"
do nothing.,pass
import hashlib module.,import hashlib
define the method __getinitargs__ with an argument self.,def __getinitargs__ ( self ) :
"add model to a set, substitute the result for known_models. pending_references is an empty dictionary.",pending_references = { }
"call the function force_str with an argument: default if it is true, or if not, first element of the result of the function,",format = force_str ( default or get_format ( 'TIME_INPUT_FORMATS' ) [ 0 ] )
import module re.,import re
substitute DjangoJSONEncoder for DateTimeAwareJSONEncoder.,DateTimeAwareJSONEncoder = DjangoJSONEncoder
"or with an empty string if its not, append the resulting string to full_statement. append string ');' to full_statement.",full_statement . append ( ');' )
"call f.read function, use the result as the argument for zlib.decompress function call, call the pickle.loads function with the previous result as argument, return the result.",return pickle . loads ( zlib . decompress ( f . read ( ) ) )
call the method self.connection.login with arguments self.username and self.password.,"self . connection . login ( self . username , self . password )"
"call the method self.data.tzinfo.tzname with an argument self.data, if it is true, return it, otherwise return an empty string.","return self . data . tzinfo . tzname ( self . data ) or """""
"if self.timezone is false,",if not self . timezone :
substitute version_info from module sys for surrent_version.,current_version = sys . version_info
return boolean False.,return False
import module base64.,import base64
"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary, substitute the result for table.",table = connections [ db ] . ops . quote_name ( self . _table )
define the function _get_val.,def _get_val ( ) :
"if new is None,",if new is None :
define the function get_ns_resolver with arguments ns_pattern and resolver.,"def get_ns_resolver ( ns_pattern , resolver ) :"
"finally perform,",finally :
"return a string '<%s token: ""%s..."">' with '%s', replace '%s' with token_name and 20 self.contents elements with every newline deleted.","return ( '<%s token: ""%s..."">' % ( token_name , self . contents [ : 20 ] . replace ( '\n' , '' ) ) )"
return statements.,return statements
and fileobj set to zbuf. call the method zfile.write with an argument s.,zfile . write ( s )
"get the next element of the iterable pattern_iter, assign the result for ch and escaped, respectively.","ch , escaped = next ( pattern_iter )"
"call the function os.fdopen with arguments fd and mode, substitute it for _file.","_file = os . fdopen ( fd , mode )"
using_sysrandom is boolean True.,using_sysrandom = True
"is greater than self.max_num, or if value under the TOTAL_FORM_COUNT key of the self.management_form.cleaned_data dictionary, is grater than self.absolute_max, raise an ValidationError with 2 arguments: return value of the function ungettext with 3 arguments:","raise ValidationError ( ungettext ( ""Please submit %d or fewer forms."" , ""Please submit %d or fewer forms."" , self . max_num ) % self . max_num , code = 'too_many_forms' , )"
"for every d in self.dicts,",for d in self . dicts :
define the method __copy__ with an argument self.,def __copy__ ( self ) :
substitute complain for insert.,insert = complain
return None.,return None
"replace '%s' in a string ""Created new squashed migration %s"" with writer.path, use it as an argument for the call to the method,","self . stdout . write ( self . style . MIGRATE_HEADING ( ""Created new squashed migration %s"" % writer . path ) )"
import module sys.,import sys
define the method add_arguments with 2 arguments: self and parser.,"def add_arguments ( self , parser ) :"
call the method _ExpatParser.reset with an argumen sefl.,_ExpatParser . reset ( self )
"if settings.DEBUG is true, return boolean False, otherwise return boolean True.",return not settings . DEBUG
"replace '%s' in the string ""%s.process_template_response didn't return an HttpResponse object. It returned None instead."",","raise ValueError ( ""%s.process_template_response didn't return an "" ""HttpResponse object. It returned None instead."" % ( middleware_method . __self__ . __class__ . __name__ ) )"
"call the cursor method on the value under the db key of connections dictionary, preform following with return value named cursor,",with connections [ db ] . cursor ( ) as cursor :
"from django.conf import settings, global_settings into default name space.","from django . conf import settings , global_settings"
"return new_name, field_params and field_notes.","return new_name , field_params , field_notes"
substitute nodelist for self.nodelist.,self . nodelist = nodelist
skip this loop iteration.,continue
"if not,",else :
from django.utils import six into default name space.,from django . utils import six
"while bit doesnt end with sential,",while not bit . endswith ( sentinal ) :
"get the value under the 'content-type' key of the info dictionary, substitute it for content_type.",content_type = info . get ( 'content-type' )
from pprint import pformat into default name space.,from pprint import pformat
"try,",try :
from django.core.files import temp as tempfile into default name space.,from django . core . files import temp as tempfile
"raise an CommandError exception with an argument string ""You can only use --pks option with one model"".","raise CommandError ( ""You can only use --pks option with one model"" )"
"for every field, messages in return value of the message.items method,","for field , messages in message . items ( ) :"
define the method get_default_prefix with an argument cls.,def get_default_prefix ( cls ) :
"get the type of self object, call its method __bool__ with an argument self, return the result.",return type ( self ) . __bool__ ( self )
"if values under ""author_name"" and ""author_email"" keys of the item dictionary are both true,","if item [ ""author_name"" ] and item [ ""author_email"" ] :"
"call the function os.getpid, substitute it for pid.",pid = os . getpid ( )
define the method __len__ with an argument self.,def __len__ ( self ) :
"call the function get_resolver with an argument urlconf, substitute the result for resolver.",resolver = get_resolver ( urlconf )
"call the function re.compile with an argument raw string ""^\s*plural$"", substitute the result for plural_re.","plural_re = re . compile ( r""""""^\s*plural$"""""" )"
from django.utils.six.moves import input into default name space.,from django . utils . six . moves import input
"call the function pickle.dumps with expiry and integer -1 as arguments, use the result as the argument for the call to f.write function.","f . write ( pickle . dumps ( expiry , - 1 ) )"
"regex is an property object of this class, with _get_regex getter and _set_regex setter function.","regex = property ( _get_regex , _set_regex )"
define the method __init__ with 2 arguments: self and loaders.,"def __init__ ( self , loaders ) :"
"try,",try :
"if field.help_text is true, substitute field.help_text for self.help_text, if not self.help_text is an empty string.",self . help_text = field . help_text or ''
"otherwise if second element of args equals a string '404',",elif args [ 1 ] == '404' :
return result.,return result
define the function get_templatetags_modules.,def get_templatetags_modules ( ) :
"and returns x striped of the surrounding whitespaces, extend the extra_files with the mapped list. if self.verbosity is greater or equal to integer 2,",if self . verbosity >= 2 :
program is string 'msgfmt',program = 'msgfmt'
"from django.db import connections, transaction, router and DatabaseError into default name space.","from django . db import connections , transaction , router , DatabaseError"
"_iterkeys is a string ""iterkeys"".","_itervalues = ""itervalues"""
"take locale or all_locales, whichever is not empty, respectively, and substitute it for locales.",locales = locale or all_locales
"if seconds smaller than integer 0, sign is '-', otherwise sign is '+',",sign = '-' if seconds < 0 else '+'
"tuple with 3 elements: strings '%H:%M:%S', '%H:%M:%S.%f' and '%H:%M' for 'TIME_INPUT_FORMATS', tuple with 4 elements: strings '%Y-%m-%d %H:%M:%S', '%Y-%m-%d %H:%M:%S.%f', '%Y-%m-%d %H:%M' and '%Y-%m-%d' for 'DATETIME_INPUT_FORMATS'. define the function reset_format_cache.",def reset_format_cache ( ) :
"if max_age is not None,",if max_age is not None :
define the method __iter__ with an argument self.,def __iter__ ( self ) :
from django.db.models.fields.related import RelatedObject into default namespace.,from django . db . models . fields . related import RelatedObject
"if site is contained in sites1,",for site in sites1 :
"call the method self.nodelist.render with an argument new_context, return the result.",return self . nodelist . render ( new_context )
define the function __wrapper__ with 2 arguments: unpacked list args and unpacked dictionary kw.,"def __wrapper__ ( * args , ** kw ) :"
raise an CommandError exception with an argument string 'You must set settings.ALLOWED_HOSTS if DEBUG is False.'.,raise CommandError ( 'You must set settings.ALLOWED_HOSTS if DEBUG is False.' )
"call the method apps.get_app_configs, for every app_config in the result,",for app_config in apps . get_app_configs ( ) :
"if 'coerce' key of the kwargs dictionary exists remove it and substitute its value for self.coerce,","self . coerce = kwargs . pop ( 'coerce' , lambda val : val )"
define the method add_initial_prefix with 2 arguments: self and field_name.,"def add_initial_prefix ( self , field_name ) :"
"if length of bits is lesser than integer 3 or second element of bits is not equal to string 'as',",if len ( bits ) < 3 or bits [ 1 ] != 'as' :
"define the function deserialize with 3 arguments: format, stream_or_string and unpacked dictionary options.","def deserialize ( format , stream_or_string , ** options ) :"
define the method __init__ with 2 arguments: self and variables.,"def __init__ ( self , variables ) :"
"call the function construct_instance with 4 arguments: self, self.instance, opts.fields and construct_instance_exclude,","self . instance = construct_instance ( self , self . instance , opts . fields , construct_instance_exclude )"
"if key is contained in d,",if key in d :
derive the class BaseCache from the object base class.,class BaseCache ( object ) :
"find the first, second and third subgroup of the m regular expression match, assign the result to the attrname, rest and attrvalue, respectively.","attrname , rest , attrvalue = m . group ( 1 , 2 , 3 )"
"subclass is a class named Migration, sub classed from migrations.Migration base class, with fields dependencies set to an empty list,","subclass = type ( ""Migration"" , ( migrations . Migration , ) , { ""dependencies"" : [ ] , ""operations"" : new_operations , ""replaces"" : replaces , } )"
best_doublecolon_start is an integer -1.,best_doublecolon_start = - 1
"if constant is true,",if constant :
"otherwise it is boolean False. if kwarg_format is false,",if not kwarg_format :
call the function os.chmod with arguments dst and mode.,"os . chmod ( dst , mode )"
"call the method form.add_initial_prefix with an argument name, substitute the result for self.html_initial_name.",self . html_initial_name = form . add_initial_prefix ( name )
"call the function sql_custom with app_config, self.style and connection as the arguments, substitute the result for statements.","statements = sql_custom ( app_config , self . style , connection )"
"substitute every '%s' in string '%s<li>%s%s</li>' with indent, with result of the function escaper called with an argument:","output . append ( '%s<li>%s%s</li>' % ( indent , escaper ( force_text ( title ) ) , sublist ) )"
"get the type of the self object, on the result call the __bool__ method with an argument self, return the result.",return type ( self ) . __bool__ ( self )
"if s is an instance of object bytes,","if isinstance ( s , bytes ) :"
define the method reader_enters with an argument self.,def reader_enters ( self ) :
"raise an DisallowedRedirect exception with an argument string ""Unsafe redirect to URL with protocol '%s'"",","raise DisallowedRedirect ( ""Unsafe redirect to URL with protocol '%s'"" % parsed . scheme )"
"define the method get with 5 arguments, self class instance, key, default set to None and version set to None.","def get ( self , key , default = None , version = None ) :"
from importlib import import_module.,from importlib import import_module
"if plan_node is not contained in shown and first element of plan_node equals to app_name,",if plan_node not in shown and plan_node [ 0 ] == app_name :
substitute left for self.first.,self . first = left
flush the output buffer of the self.stdout object.,self . stdout . flush ( )
"join lineno_comment_map dictionary value under the comment_lineno_cache key into a string, separated with ' | ',",out . write ( '# %s' % ' | ' . join ( lineno_comment_map [ comment_lineno_cache ] ) )
current_chunk is None.,current_chunk = None
"with an argument escape_html for f, for every f and e in list of tuples of self dictionary key, pair entries, return the result. define the method as_ul with an argument self.",def as_ul ( self ) :
"'startapp' and 'startproject'. try,",try :
tried is an empty list.,tried = [ ]
"if extend is boolean True,",if extend is True :
from django.core import serializers into default name space.,from django . core import serializers
"call the method formats.number_format with 2 arguments, d converted to a integer and then to string, and integer 0,","return mark_safe ( formats . number_format ( '%d' % ( int ( d ) ) , 0 ) )"
self._choices and self.widget.choices are assigned value converted into a list.,self . _choices = self . widget . choices = list ( value )
"call the function re.compile with 2 arguments, string '^%s/', where '%s' is replaced with language_code and re.UNICODE, substitute the result for regex_compiled.","regex_compiled = re . compile ( '^%s/' % language_code , re . UNICODE )"
"call the method inspect.getmro with an argument new_class, for every base in the result,",for base in inspect . getmro ( new_class ) :
return boolean True.,return True
derive the class ExtendsError from the Exception base class.,class ExtendsError ( Exception ) :
decorator function register.filter with an argument is_safe set to boolean False.,@ register . filter ( is_safe = False )
"filesize_number_format is an lambda function with an argument value, return value is the result of the method formats.number_format,","filesize_number_format = lambda value : formats . number_format ( round ( value , 1 ) , 1 )"
"if not,",else :
"if not,",else :
"call the function get_supported_language_variant with an argument settings.LANGUAGE_CODE, return the result.",return get_supported_language_variant ( settings . LANGUAGE_CODE )
"if can fail is true,",if can_fail :
call the function get_urlconf with an argument urlconf.,urlconf = get_urlconf ( )
"if not,",else :
return context.,return context
"for every w in widgets, call the function w and append the result to a list, if w is an instance of type class,","self . widgets = [ w ( ) if isinstance ( w , type ) else w for w in widgets ]"
if content is not None raise an error.,assert content is None
"if data is None,",if data is None :
"if qs._result_cache is not None,",if qs . _result_cache is not None :
"if last element of line is newline or carriage return character,","if line [ - 1 : ] in ( b'\n' , b'\r' ) :"
derive the class metaclass form the meta base class.,class metaclass ( meta ) :
derive the class Command from the AppCommand base class.,class Command ( AppCommand ) :
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
"define the method __init__ with arguments self, stream and boundary.","def __init__ ( self , stream , boundary ) :"
define the method __len__ with an argument self.,def __len__ ( self ) :
"if self.data is false,",if not self . data :
append f.name to exclude.,exclude . append ( f . name )
and unpacked dictionary kwargs. define the function allow_lazy with 2 arguments: func and unpacked list resultclasses.,"def allow_lazy ( func , * resultclasses ) :"
"if Exception exception is caught,",except Exception :
define the method bpython with an argument self.,def bpython ( self ) :
substitute value for the vale under the name key of the pdict dictionary.,pdict [ name ] = value
substitute value under the RESULT key of the root dictionary for oldvalue.,oldvalue = root [ RESULT ]
"if ValueError exception is caught,",except ValueError :
define the method send_messages with arguments self and email_message.,"def send_messages ( self , email_messages ) :"
derive the class URLField from the base class CharField class.,class URLField ( CharField ) :
"for every i and widget in enumerated iterable self.widgets, call the function widget.value_from_datadict with 3 arguments: data,","return [ widget . value_from_datadict ( data , files , name + '_%s' % i ) for i , widget in enumerate ( self . widgets ) ]"
substitute tagtype for self.tagtype.,self . tagtype = tagtype
call the function reloader_thread.,reloader_thread ( )
"define the method __init__ with 6 arguments self, parent_widget, name, value, attrs and choices.","def __init__ ( self , parent_widget , name , value , attrs , choices ) :"
substitute complain for extend.,extend = complain
"define the function ngettext with 3 arguments: singular, plural and number.","def ngettext ( singular , plural , number ) :"
"if self.app_label is true and app_config.label is not equal to self.app_label,",if self . app_label and app_config . label != self . app_label :
"if script_url is false,",if not script_url :
if not self.error_messages is None. derive the class ModelFormMetaclass from the DeclarativeFieldsMetaclass base class.,class ModelFormMetaclass ( DeclarativeFieldsMetaclass ) :
"msg is a string ""[%s] %s\n"", where '%s' are replaced with return value of the method self.log_date_time_string and formated args.","msg = ""[%s] %s\n"" % ( self . log_date_time_string ( ) , format % args )"
define the function iterbytes with an argument buf.,def iterbytes ( buf ) :
substitute help_texts for value under the 'help_texts' key of attrs dictionary.,attrs [ 'help_texts' ] = help_texts
"if val is not None,",if val is not None :
decorator function register.filter with an argument is_safe set to boolean True.,@ register . filter ( is_safe = True )
"if self._wrapped is empty,",if self . _wrapped is empty :
define the method __str__ with an argument self.,def __str__ ( self ) :
define the method forms with an argument self.,def forms ( self ) :
"if widget is false,",if not widget :
"prepend string '_' to i converted to an string, append the result to the value under the 'id' key of the attrs_plus.",attrs_plus [ 'id' ] += '_{0}' . format ( i )
"if schemes is not None,",if schemes is not None :
self.vals is an empty list.,self . vals = [ ]
